apprehension_date,apprehension_state,apprehension_aor,final_program,final_program_group,apprehension_method,apprehension_criminality,case_status,case_category,departed_date,departure_country,final_order_yes_no,final_order_date,birth_year,citizenship_country,gender,apprehension_site_landmark,unique_identifier,apprehension_date_time,duplicate_likely,file_original,sheet_original,row_original
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,1994.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,70e222acf368dc9c2da8f3b52b9012db7f4eb232,2023-09-01 07:56:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,163724
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Other efforts,3 Other Immigration Violator,ACTIVE,[8G] Expedited Removal - Credible Fear Referral,,,YES,2024-10-18,1994.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,eb6ba7301aee3efd47b7e1e0852d927fba1bd6fc,2023-09-01 09:36:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,341842
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2008.0,EL SALVADOR,Female,YAKIMA NON DETAINED DOCKET,af7ee05ea137e81eae75a2973ec792e974d572d0,2023-09-01 10:34:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,254793
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8A] Excludable / Inadmissible - Hearing Not Commenced,,,NO,,2001.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,642a166558677a18e1154545d87df4a8bbb3b2c6,2023-09-01 13:43:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,145254
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1987.0,VENEZUELA,Male,SEATTLE NON-DETAINED DOCKET,c2e7fd7359242b4552a59c2df5ee9a862eb5d80a,2023-09-01 14:03:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,283268
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1994.0,COLOMBIA,Male,SEATTLE NON-DETAINED DOCKET,2124ace22a98ece39deefd48d242b4764fad0db0,2023-09-01 14:22:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,48174
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1996.0,SOMALIA,Male,SEATTLE NON-DETAINED DOCKET,0d446f3887bee21dccb81aa424d11917d5d5d98f,2023-09-01 14:44:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,19334
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2000.0,NICARAGUA,Male,SEATTLE NON-DETAINED DOCKET,bd7f846f634d9f05fb68316b135a05782f1afea6,2023-09-01 15:00:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,275329
2023-09-05,WASHINGTON,Seattle Area of Responsibility,Fugitive Operations,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2023-10-10,MEXICO,YES,2023-09-19,1985.0,MEXICO,Male,WASHINGTON STATE PENITENTIARY,121fdddf8ee0c97b25cdbe957437843c10638fe3,2023-09-05 08:40:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,26381
2023-09-05,WASHINGTON,Seattle Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,ACTIVE,[5F] Unable to Obtain Travel Document,,,NO,,1979.0,LAOS,Male,AIRWAY HEIGHTS,dfbfc6a34537bab6aa4cb7a420505fcfe38ad861,2023-09-05 09:11:00 UTC,False,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,324963
